,name,price,mrp,Rating,product_id
0,Brown Kanjivaram Pure Silk Saree,"26,180","34,900",Share,https://thenmozhidesigns.com/products/3
1,Hridaya (Beige) - Beige Maheshwari  Tissue Silk Handloom Cotton Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/beige-maheshwari-silk-handloom-cotton-saree
2,Black Mangalagiri Cotton Stripe Saree,"2,500","2,500",Share,https://thenmozhidesigns.com/products/black-mamgalagiri-cotton-stripe-saree
3,Black Narayanpet Temple Border Saree,"2,000","2,000",Share,https://thenmozhidesigns.com/products/black-narayanpet-flower-border-saree
4,Black Narayanpet Cotton Saree,"2,000","2,000",Share,https://thenmozhidesigns.com/products/black-narayanpet-saree
5,Pine Green Maheshwari Silk Cotton Handloom Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/blue-maheshwari-silk-cotton-handloom-saree
6,Blue Narayanpet Cotton Saree,"2,000","2,000",Share,https://thenmozhidesigns.com/products/blue-narayanpet-saree
7,Candy Pink- Pink Mangalagiri Plain Cotton Saree,"2,500","2,500",Share,https://thenmozhidesigns.com/products/blue-velvet-blue-mangalagiri-plain-cotton-saree-copy
8,Rich Brown Maheshwari Silk Handloom Cotton Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/brown-maheshwari-silk-handloom-cotton-saree
9,Chandra - Purple Chettinad Cotton Saree,"3,250","3,250",Share,https://thenmozhidesigns.com/products/chettinad-01
10,Kadambari - Black Chettinadd cotton Saree,"2,700","2,700",Share,https://thenmozhidesigns.com/products/chettinad-1
11,Banumathi - Seagreen Chettinad Cotton Saree,"3,250","3,250",Share,https://thenmozhidesigns.com/products/chettinad-03
12,Hema - Blue Chettinad Cotton Saree,"2,000","2,000",Share,https://thenmozhidesigns.com/products/chettinad-7
13,Maya - Green Chettinad Cotton Saree,"2,100","2,100",Share,https://thenmozhidesigns.com/products/chettinad-13
14,Ganga - Navy Blue Chettinad Cotton Saree,"2,500","3,250",Share,https://thenmozhidesigns.com/products/chettinad-cotton-blue-purple-sarees
15,Apoorva - Pink Chettinad Cotton Saree,"2,700","2,700",Share,https://thenmozhidesigns.com/products/chettinad-cotton-pink-long-border-saree
16,Bamini - Yellow Chettinad Cotton Saree,"2,700","2,700",Share,https://thenmozhidesigns.com/products/chettinad-cotton-yellow-long-border-saree
17,Ethnic Dark Green Maheshwari Silk Cotton Saree,"4,000","4,000",Share,https://thenmozhidesigns.com/products/dark-green-maheshwari-silk-cotton-saree
18,Hridaya (Dark Green) - Green Maheshwari Tissue Silk Handloom Cotton Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/dark-green-maheshwari-tissue-silk-handloom-cotton-saree
19,Diva (Green) Maheshwari Silk Cotton Handloom Saree,"3,850","3,850",Share,https://thenmozhidesigns.com/products/diva-green-maheshwari-handloom-cotton-saree
20,Diva (Orange) - Maheshwari Silk  Cotton Handloom Saree,"3,850","3,850",Share,https://thenmozhidesigns.com/products/diva-orange-maheshwari-handloom-cotton-saree
21,Ethnic Bottle Green Maheshwari Silk Cotton (Handloom),"4,000","4,000",Share,https://thenmozhidesigns.com/products/ethnic-03
22,Fusion Dark Green,"2,000","3,250",Share,https://thenmozhidesigns.com/products/fusion-nayanthara-dark-green
23,Golden Maheshwari Silk Cotton Handloom Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/golden-maheshwari-silk-cotton-handloom-saree
