,name,price,mrp,discount,product_id
10,"Bottle Green Color Floral Print Organza Three Piece Anarkali Suit
","2,199.00","6,780.00","     68 
",https://tanhai.in/collections/anarkali-suit/products/bottle-green-color-floral-print-organza-three-piece-anarkali-suit
11,"Bottle Green Color Printed Tebby Organza Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/bottle-green-color-printed-tebby-organza-three-piece-anarkali-suit
12,"Brown Color Printed Soft Organza Anarkali Three Piece Suit
","1,999.00","7,999.00","     75 
",https://tanhai.in/collections/anarkali-suit/products/brown-color-printed-soft-organza-anarkali-three-piece-suit
13,"Rose Pink Color Digital Print Organza Three Piece Anarkali Suit
","2,199.00","6,780.00","     68 
",https://tanhai.in/collections/anarkali-suit/products/color-print-organza-three-piece-anarkali-suit
14,"Neon Color Printed Soft Organza Anarkali Three Piece Suit
","1,999.00","7,999.00","     75 
",https://tanhai.in/collections/anarkali-suit/products/copy-of-aishwarya-rathod-in-purple-color-3d-printed-soft-organza-anarkali-three-piece-suit
15,"Floral Rose Print White Colour Organza Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/copy-of-green-leaf-print-white-colour-organza-three-piece-anarkali-suit
16,"Dark Maroon Color Georgette Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/dark-maroon-color-georgette-three-piece-anarkali-suit
17,"Jyoti Thakur Designer Back String Style Red Colour Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/designer-back-string-style-red-colour-three-piece-anarkali-suit
18,"Devshree  Floral Navy Blue Color Pure Soft Georgette Anarkali Suit
","1,999.00","7,999.00","     75 
",https://tanhai.in/collections/anarkali-suit/products/devshree-floral-navy-blue-color-pure-soft-georgette-anarkali-suit
19,"Diksha Mohanpawar Georgette Wine Purple Colour Three Piece Anarkali Suit
","1,999.00","7,999.00","     75 
",https://tanhai.in/collections/anarkali-suit/products/diksha-mohanpawar-georgette-wine-purple-colour-three-piece-anarkali-suit
